pulgar,indice,corazon,anular,menique,pulgar_indice,simb
0.952972492,1.990684626,0.701829791,0.504625445,0.440786328,1.037773357,0
0.953002954,1.979924952,0.705628468,0.489145323,0.444523276,1.027104036,0
0.962933823,1.986295526,0.675478671,0.529622276,0.509825075,1.02683256,0
0.965232382,1.990487594,0.721292923,0.509921657,0.459234695,1.0257922,0
0.979591167,2.001288983,0.737454773,0.524745811,0.460471914,1.022525667,0
0.979705397,1.996533432,0.741629189,0.516290454,0.457988422,1.01880354,0
0.979705397,2.015182055,0.741629189,0.516022042,0.457988422,1.036865494,0
0.980384758,2.002357102,0.758598509,0.516379869,0.474078345,1.022770714,0
0.982811683,1.987810074,0.723831212,0.511617178,0.471517826,1.005221411,0
0.99503719,1.994491865,0.773996782,0.536299963,0.494437955,1.003843001,0
0.995077121,1.999326637,0.724661749,0.475061902,0.438714219,1.004925035,0
0.995403638,1.994815766,0.752313985,0.516302283,0.473248874,1.001330476,0
0.997806583,1.991357732,0.722044538,0.501010215,0.441269873,0.995382598,0
0.997843534,1.95846043,0.773545362,0.557489586,0.51971657,1.038396414,0
0.998519614,2.009739599,0.732386874,0.516302283,0.457029255,1.016141909,0
0.998936319,1.992825089,0.712624363,0.53062015,0.458311291,0.994895207,0
0.999252916,2.005744916,0.706852479,0.44632209,0.382877423,1.007412918,0
0.99984652,2.016810871,0.766270215,0.50806872,0.459868933,1.01990623,0
1.001571542,2.011476936,0.739621741,0.490399684,0.433445869,1.015887519,0
1.002960338,1.999184536,0.750135871,0.516550854,0.451961499,1.001037114,0
1.003156497,1.992507854,0.74626176,0.499026289,0.414358066,0.998174404,0
1.007430062,1.99809262,0.732616952,0.522779298,0.478540265,0.991723064,0
1.007546414,1.99750217,0.745467193,0.504541523,0.454014067,0.996378154,0
1.010272044,1.987755592,0.713692406,0.498653813,0.417409891,0.999031581,0
1.012445384,2.003193381,0.737572046,0.47811483,0.452548801,0.991747845,0
1.013088746,1.990819582,0.73962926,0.491330103,0.441282493,0.982660205,0
1.013479334,1.98691116,0.810602428,0.575969973,0.530930327,1.003314252,0
1.013509779,1.990781865,0.751509707,0.499222193,0.448370683,0.982357321,0
1.013869442,2.014450558,0.763260107,0.525588331,0.459868933,1.002452487,0
1.014415263,1.973638876,0.753157785,0.566005386,0.556368765,0.999647246,0
1.015262184,2.004453558,0.750635124,0.514709955,0.462890108,0.996893599,0
1.015583279,2.00201241,0.732743305,0.50818799,0.445710352,0.987981469,0
1.016466852,2.016240024,0.767135508,0.534046859,0.468390081,1.00236897,0
1.016981845,1.992560421,0.715477426,0.50710763,0.42938618,0.982043764,0
1.017043223,2.016810871,0.766270215,0.50806872,0.459868933,1.002452487,0
1.017043223,2.016810871,0.749053014,0.50806872,0.443214997,1.002452487,0
1.018201472,1.997941039,0.763022971,0.503376437,0.450233573,0.981318387,0
1.019919259,2.002586563,0.749117127,0.506429253,0.427303446,0.997526352,0
1.021187314,1.990713735,0.759643879,0.488214032,0.42537181,0.989176722,0
1.021291925,2.015998112,0.749628456,0.508459032,0.438326752,1.000768226,0
1.024446355,1.99565433,0.766431028,0.486369572,0.426948135,0.981014861,0
1.028315337,2.003959179,0.743125109,0.515860704,0.469440327,0.984547977,0
1.028570374,1.955956728,0.737120762,0.538877347,0.521223089,1.025219303,0
